flock_id,farm_no,house_no,survey_date,season,first_date_placed,last_date_sold,carbon_add_backs,caked_litter,pulled_cake_from_house,house_clean_out,litter_condition,litter_depth,moisture_percent,paw_score,proper_windrowing,litter_intervention,avg_weight,feed_conversion,livability,one_week_mortality,weight_gain_per_day,age_days,head_placed,head_sold,feed_consumed,goal_weight,breed,bird_type,hen_age_weeks,moisture_percent_single,paw_score_single,caked_litter_single,moisture_composite,paw_score_composite,caked_litter_composite,moisture_percent_num,paw_score_num,caked_litter_num,moisture_level,paw_score_level,mortality_rate,feed_efficiency,production_days
0046-120,46,120,2024-09-25,Fall,2024-09-04,2024-10-10,Done per SOP,11 – 49 % caked,TRUE,More than 5 years since cleanout,"Presence of marbles, chunks, leftover cake, or uneven litter",Less than 3 inches,31 – 40 % moisture,Greater than 80 % acceptable paws,None,Only 1 intervention used,4.35051296173558,1.54463136211484,97.3845454545,1.0809090909,0.1243003703,35,110000,107123,719860,4.2,ROSS 308,SB,44,31 – 40 % moisture,Greater than 80 % acceptable paws,11 – 49 % caked,FALSE,FALSE,FALSE,35.5,90,30,High,Good,2.6154545454545453,0.6474036618231322,36
8244-192,8244,192,2024-10-07,Fall,2024-09-06,2024-10-14,Done per SOP,11 – 49 % caked,TRUE,Cleaned within 3 years,"Presence of marbles, chunks, leftover cake, or uneven litter",Greater than 5 inches,Less than 30 % moisture,Greater than 80 % acceptable paws,Performed per SOP,Acid and disinfect used,4.5044993077988,1.57315277244205,94.4775468682,1.7838976893,0.1251249808,36,110096,104016,737085,4.2,ROSS 308,SB,33,Less than 30 % moisture,Greater than 80 % acceptable paws,11 – 49 % caked,FALSE,FALSE,FALSE,15,90,30,Low,Good,5.522453131812237,0.6356661714727626,38
4095-34,4095,34,2025-03-11,Winter,2025-02-20,2025-04-11,Done per SOP,Less than 10 % caked,FALSE,More than 5 years since cleanout,"Presence of marbles, chunks, leftover cake, or uneven litter",Greater than 5 inches,31 – 40 % moisture,Greater than 80 % acceptable paws,Performed but not recorded,None,6.20583353094617,1.73640879563692,93.6846144525,4.3745203377,0.1270253849,49,198056,185548,1999440,6.7,ROSS 708,TP,44,31 – 40 % moisture,Greater than 80 % acceptable paws,Less than 10 % caked,FALSE,FALSE,FALSE,35.5,90,5,High,Good,6.315385547521914,0.5759012523506579,50
4389-222,4389,222,2025-04-18,Spring,2025-03-24,2025-05-09,Done per SOP,Less than 10 % caked,TRUE,Cleaned within 3 years,None of the above (litter even and clean),Less than 3 inches,Less than 30 % moisture,Greater than 80 % acceptable paws,None,Acid and disinfect used,6.13124790429525,1.68513160680263,95.903526971,1.0975103734,0.1336616389,46,96400,92451,955200,6.7,ROSS 708,TP,34,Less than 30 % moisture,Greater than 80 % acceptable paws,Less than 10 % caked,FALSE,FALSE,FALSE,15,90,5,Low,Good,4.096473029045644,0.5934254606365141,46
2181-59,2181,59,2024-10-24,Fall,2024-10-03,2024-11-20,Done per SOP,11 – 49 % caked,TRUE,Cleaned within 3 years,"Presence of marbles, chunks, leftover cake, or uneven litter",Greater than 5 inches,31 – 40 % moisture,50 – 80 % acceptable paws,Performed but not recorded,Only 1 intervention used,6.77256198347107,1.6408738875059,94.9267782427,1.7280334728,0.1440970635,47,191200,181500,2016995,6.7,ROSS 708,TP,44,31 – 40 % moisture,50 – 80 % acceptable paws,11 – 49 % caked,FALSE,FALSE,FALSE,35.5,65,30,High,Acceptable,5.073221757322176,0.609431357043522,48
1841-102,1841,102,2024-09-19,Summer,2024-08-26,2024-10-11,Done per SOP,Less than 10 % caked,TRUE,Cleaned within 3 years,"Presence of marbles, chunks, leftover cake, or uneven litter",Greater than 5 inches,Less than 30 % moisture,Greater than 80 % acceptable paws,None,None,6.12941165221216,1.64937911453621,95.9458715596,0.8449541284,0.1362091478,45,109000,104581,1057285,6.7,ROSS 708,TP,36,Less than 30 % moisture,Greater than 80 % acceptable paws,Less than 10 % caked,FALSE,FALSE,FALSE,15,90,5,Low,Good,4.054128440366973,0.6062887490128009,46
8660-133,8660,133,2024-09-18,Summer,2024-08-22,2024-10-22,Done per SOP,Less than 10 % caked,TRUE,More than 5 years since cleanout,"Presence of marbles, chunks, leftover cake, or uneven litter",Greater than 5 inches,31 – 40 % moisture,Greater than 80 % acceptable paws,Performed but not recorded,Only 1 intervention used,9.81803454161484,1.78845247215511,96.0194444444,0.6319444444,0.163633909,60,72000,69134,1213930,9,ROSS 708,BB,48,31 – 40 % moisture,Greater than 80 % acceptable paws,Less than 10 % caked,FALSE,FALSE,FALSE,35.5,90,5,High,Good,3.980555555555555,0.5591426194261602,61
3090-40,3090,40,2024-07-10,Summer,2024-06-11,2024-08-05,Done per SOP,11 – 49 % caked,TRUE,Cleaned within 3 years,"Presence of marbles, chunks, leftover cake, or uneven litter",Greater than 5 inches,31 – 40 % moisture,Greater than 80 % acceptable paws,Performed but not recorded,Acid and disinfect used,6.91738725961172,1.77125314167291,95.584548105,0.7827988338,0.1257706774,55,68600,65571,803405,6.7,ROSS 708,TP,45,31 – 40 % moisture,Greater than 80 % acceptable paws,11 – 49 % caked,FALSE,FALSE,FALSE,35.5,90,30,High,Good,4.415451895043732,0.5645720402536714,55
8330-177,8330,177,2024-08-06,Summer,2024-07-16,2024-09-07,Done per SOP,11 – 49 % caked,FALSE,More than 5 years since cleanout,"Presence of marbles, chunks, leftover cake, or uneven litter",Greater than 5 inches,31 – 40 % moisture,Greater than 80 % acceptable paws,Performed but not recorded,Only 1 intervention used,7.82639086887342,1.69358591675089,95.6438744183,2.4973829819,0.1505075167,52,113679,108727,1441140,6.7,ROSS 708,TP,45,31 – 40 % moisture,Greater than 80 % acceptable paws,11 – 49 % caked,FALSE,FALSE,FALSE,35.5,90,30,High,Good,4.356125581681753,0.590463105596957,53
2023-106,2023,106,2025-02-10,Winter,2025-01-07,2025-02-13,Done per SOP,11 – 49 % caked,TRUE,Cleaned within 3 years,"Presence of marbles, chunks, leftover cake, or uneven litter",Greater than 5 inches,31 – 40 % moisture,Greater than 80 % acceptable paws,Performed per SOP,Only 1 intervention used,4.72556383148571,1.59083964980316,96.0124498474,2.1833886512,0.1283370571,37,150042,144059,1082980,4.2,ROSS 308,SB,40,31 – 40 % moisture,Greater than 80 % acceptable paws,11 – 49 % caked,FALSE,FALSE,FALSE,35.5,90,30,High,Good,3.987550152623932,0.6285988660917103,37
2224-7,2224,7,2024-10-28,Fall,2024-10-04,2024-11-08,Done per SOP,11 – 49 % caked,TRUE,Cleaned within 3 years,None of the above (litter even and clean),Greater than 5 inches,31 – 40 % moisture,50 – 80 % acceptable paws,None,Only 1 intervention used,4.43309597121615,1.51382985276905,97.6473333333,0.9073333333,0.1266598849,35,150000,146471,982960,4.2,ROSS 308,SB,34,31 – 40 % moisture,50 – 80 % acceptable paws,11 – 49 % caked,FALSE,FALSE,FALSE,35.5,65,30,High,Acceptable,2.352666666666667,0.6605762187678037,35
0524-59,524,59,2024-09-05,Summer,2024-08-15,2024-09-19,Not done,11 – 49 % caked,FALSE,Cleaned within 3 years,"Presence of marbles, chunks, leftover cake, or uneven litter",Greater than 5 inches,Less than 30 % moisture,Greater than 80 % acceptable paws,Performed but not recorded,Only 1 intervention used,4.45787438671735,1.51384839650146,97.7047619048,1.0597883598,0.1277065279,35,189000,184662,1246200,4.2,ROSS 308,SB,35,Less than 30 % moisture,Greater than 80 % acceptable paws,11 – 49 % caked,FALSE,FALSE,FALSE,15,90,30,Low,Good,2.2952380952380955,0.6605681271064024,35
1775-43,1775,43,2025-04-29,Spring,2025-03-25,2025-05-13,Done per SOP,Less than 10 % caked,TRUE,Cleaned within 3 years,"Presence of marbles, chunks, leftover cake, or uneven litter",Greater than 5 inches,31 – 40 % moisture,Greater than 80 % acceptable paws,Performed per SOP,Acid and disinfect used,6.88797274763946,1.66969642963227,96.5938735178,1.3241106719,0.1465526117,47,101200,97753,1124240,6.7,ROSS 708,TP,45,31 – 40 % moisture,Greater than 80 % acceptable paws,Less than 10 % caked,FALSE,FALSE,FALSE,35.5,90,5,High,Good,3.406126482213439,0.5989112644986835,49
0789-56,789,56,2025-03-24,Spring,2025-03-03,2025-04-08,Done per SOP,Less than 10 % caked,TRUE,Cleaned within 3 years,None of the above (litter even and clean),Greater than 5 inches,Less than 30 % moisture,Greater than 80 % acceptable paws,Performed but not recorded,Only 1 intervention used,4.81527379753698,1.55086858613479,95.637037037,1.4287037037,0.1337576055,36,108000,103288,771340,4.2,ROSS 308,SB,42,Less than 30 % moisture,Greater than 80 % acceptable paws,Less than 10 % caked,FALSE,FALSE,FALSE,15,90,5,Low,Good,4.362962962962963,0.644799958513756,36
2004-116,2004,116,2025-03-25,Spring,2025-03-04,2025-04-10,Not done,Less than 10 % caked,TRUE,Cleaned within 3 years,None of the above (litter even and clean),Greater than 5 inches,31 – 40 % moisture,Greater than 80 % acceptable paws,None,Only 1 intervention used,4.68735261751297,1.57707625875152,94.237037037,1.2462962963,0.130358991,36,108000,101776,752360,4.2,ROSS 308,SB,48,31 – 40 % moisture,Greater than 80 % acceptable paws,Less than 10 % caked,FALSE,FALSE,FALSE,35.5,90,5,High,Good,5.762962962962963,0.6340847466638311,37
5442-62,5442,62,2025-05-19,Spring,2025-04-21,2025-06-04,Not done,Less than 10 % caked,TRUE,Cleaned within 3 years,None of the above (litter even and clean),Less than 3 inches,Less than 30 % moisture,Greater than 80 % acceptable paws,Performed but not recorded,Acid and disinfect used,6.30609560005847,1.60268891979601,93.9697802198,2.6277472527,0.1453522874,44,72800,68410,691400,6.7,ROSS 308,ORG,50,Less than 30 % moisture,Greater than 80 % acceptable paws,Less than 10 % caked,FALSE,FALSE,FALSE,15,90,5,Low,Good,6.03021978021978,0.6239514029505363,44
1839-107,1839,107,2025-01-15,Winter,2024-12-19,2025-02-04,Done per SOP,11 – 49 % caked,TRUE,Cleaned within 3 years,"Presence of marbles, chunks, leftover cake, or uneven litter",Greater than 5 inches,31 – 40 % moisture,50 – 80 % acceptable paws,None,Only 1 intervention used,6.39529550851517,1.67448605577689,92.915719697,3.3456439394,0.142117678,45,105600,98119,1050740,6.7,ROSS 708,TP,29,31 – 40 % moisture,50 – 80 % acceptable paws,11 – 49 % caked,FALSE,FALSE,FALSE,35.5,65,30,High,Acceptable,7.084280303030304,0.5971981651026904,47
8112-166,8112,166,2025-03-31,Spring,2025-03-17,2025-05-02,Done per SOP,Less than 10 % caked,TRUE,Cleaned within 3 years,"Presence of marbles, chunks, leftover cake, or uneven litter",Greater than 5 inches,31 – 40 % moisture,Greater than 80 % acceptable paws,None,Only 1 intervention used,6.72092672738626,1.58525020823989,96.3547717842,1.3713692946,0.1462676549,46,48200,46443,494820,6.7,ROSS 708,TP,42,31 – 40 % moisture,Greater than 80 % acceptable paws,Less than 10 % caked,FALSE,FALSE,FALSE,35.5,90,5,High,Good,3.645228215767635,0.6308152459480224,46
8457-79,8457,79,2025-04-21,Spring,2025-04-01,2025-05-23,Done per SOP,11 – 49 % caked,TRUE,More than 5 years since cleanout,None of the above (litter even and clean),Greater than 5 inches,31 – 40 % moisture,Greater than 80 % acceptable paws,Performed but not recorded,Only 1 intervention used,6.74053464798816,1.75097759969103,93.2640364188,3.5477996965,0.1296256663,52,65900,61461,725395,6.7,ROSS 708,TP,34,31 – 40 % moisture,Greater than 80 % acceptable paws,11 – 49 % caked,FALSE,FALSE,FALSE,35.5,90,30,High,Good,6.735963581183611,0.571109533426616,52
1283-116,1283,116,2025-02-24,Winter,2025-02-03,2025-03-24,Done per SOP,11 – 49 % caked,TRUE,More than 5 years since cleanout,"Presence of marbles, chunks, leftover cake, or uneven litter",Greater than 5 inches,"31 – 40 % moisture,Less than 30 % moisture","50 – 80 % acceptable paws,Greater than 80 % acceptable paws",Performed but not recorded,Only 1 intervention used,6.31373635962346,1.75868236212279,91.7259887006,2.6911487759,0.1288517624,49,106200,97413,1081660,6.7,ROSS 708,TP,33,31 – 40 % moisture,50 – 80 % acceptable paws,11 – 49 % caked,TRUE,TRUE,FALSE,35.5,65,30,High,Acceptable,8.27401129943503,0.5686075106780315,49
4094-8,4094,8,2025-02-26,Winter,2025-02-04,2025-03-26,Done per SOP,11 – 49 % caked,TRUE,4 – 5 years since cleanout,"Presence of marbles, chunks, leftover cake, or uneven litter",Greater than 5 inches,31 – 40 % moisture,"Greater than 80 % acceptable paws,50 – 80 % acceptable paws",Performed but not recorded,None,6.35326306625626,1.81612345437343,92.6887608069,2.0730067243,0.1270652613,50,104100,96489,1113320,6.7,ROSS 708,TP,38,31 – 40 % moisture,Greater than 80 % acceptable paws,11 – 49 % caked,FALSE,TRUE,FALSE,35.5,90,30,High,Good,7.3112391930835745,0.5506233607588115,50
0482-152,482,152,2025-02-28,Winter,2025-02-04,2025-03-25,Done per SOP,11 – 49 % caked,TRUE,Cleaned within 3 years,"Presence of marbles, chunks, leftover cake, or uneven litter",Greater than 5 inches,31 – 40 % moisture,50 – 80 % acceptable paws,None,Acid and disinfect used,6.96745001677834,1.67778796258894,91.4663366337,2.5732673267,0.1451552087,48,101000,92381,1079925,6.7,ROSS 708,TP,54,31 – 40 % moisture,50 – 80 % acceptable paws,11 – 49 % caked,FALSE,FALSE,FALSE,35.5,65,30,High,Acceptable,8.533663366336635,0.5960228719587024,49
0193-99,193,99,2024-09-02,Summer,2024-08-12,2024-09-27,Done per SOP,Less than 10 % caked,TRUE,Cleaned within 3 years,"Presence of marbles, chunks, leftover cake, or uneven litter",Greater than 5 inches,31 – 40 % moisture,Greater than 80 % acceptable paws,None,Acid and disinfect used,6.08140462889066,1.58745406824147,95.7951070336,1.1896024465,0.1382137416,44,130800,125300,1209640,6.7,ROSS 708,TP,39,31 – 40 % moisture,Greater than 80 % acceptable paws,Less than 10 % caked,FALSE,FALSE,FALSE,35.5,90,5,High,Good,4.204892966360856,0.6299394861281041,46
2035-103,2035,103,2024-10-10,Fall,2024-09-19,2024-10-28,Done per SOP,Less than 10 % caked,TRUE,Cleaned within 3 years,None of the above (litter even and clean),Greater than 5 inches,Less than 30 % moisture,Greater than 80 % acceptable paws,Performed but not recorded,Only 1 intervention used,4.52418096723869,1.57374939290918,96.9694602273,1.5205965909,0.1160046402,39,140800,136533,972105,4.2,ROSS 708,SB,38,Less than 30 % moisture,Greater than 80 % acceptable paws,Less than 10 % caked,FALSE,FALSE,FALSE,15,90,5,Low,Good,3.0305397727272725,0.6354251855509433,39
2124-3,2124,3,2024-09-17,Summer,2024-08-29,2024-10-24,Not done,Less than 10 % caked,FALSE,4 – 5 years since cleanout,"Presence of marbles, chunks, leftover cake, or uneven litter",Less than 3 inches,Less than 30 % moisture,Greater than 80 % acceptable paws,Performed but not recorded,Acid and disinfect used,7.10609983939166,1.67842481549816,97.7852564103,0.9318910256,0.1450224457,49,124800,122036,1455530,6.7,ROSS 708,TP,45,Less than 30 % moisture,Greater than 80 % acceptable paws,Less than 10 % caked,FALSE,FALSE,FALSE,15,90,5,Low,Good,2.2147435897435894,0.5957967200950839,56
4981-13,4981,13,2024-09-24,Fall,2024-09-03,2024-10-18,Done per SOP,Less than 10 % caked,TRUE,Cleaned within 3 years,None of the above (litter even and clean),Less than 3 inches,Less than 30 % moisture,Greater than 80 % acceptable paws,Performed but not recorded,Only 1 intervention used,6.60956958706576,1.59824970249901,94.9585062241,1.9211618257,0.1502174906,44,96400,91540,967005,6.7,ROSS 308,TP,39,Less than 30 % moisture,Greater than 80 % acceptable paws,Less than 10 % caked,FALSE,FALSE,FALSE,15,90,5,Low,Good,5.04149377593361,0.625684458715311,45
1833-104,1833,104,2025-02-28,Winter,2025-01-31,2025-03-19,Done per SOP,11 – 49 % caked,FALSE,Cleaned within 3 years,"Presence of marbles, chunks, leftover cake, or uneven litter",Greater than 5 inches,31 – 40 % moisture,50 – 80 % acceptable paws,None,Only 1 intervention used,5.82469152759655,1.81866058795787,94.9630434783,2.2326086957,0.1241853177,47,46000,43683,462740,6.7,ROSS 708,TP,54,31 – 40 % moisture,50 – 80 % acceptable paws,11 – 49 % caked,FALSE,FALSE,FALSE,35.5,65,30,High,Acceptable,5.03695652173913,0.5498552102692652,47
2982-12,2982,12,2024-07-30,Summer,2024-07-08,2024-08-30,Done per SOP,Less than 10 % caked,FALSE,Cleaned within 3 years,"Presence of marbles, chunks, leftover cake, or uneven litter",Greater than 5 inches,Less than 30 % moisture,Greater than 80 % acceptable paws,Performed but not recorded,Acid and disinfect used,7.02792866867056,1.70221233421878,94.146685025,3.1490517312,0.1351542241,52,315206,296756,3550100,6.7,ROSS 708,TP,36,Less than 30 % moisture,Greater than 80 % acceptable paws,Less than 10 % caked,FALSE,FALSE,FALSE,15,90,5,Low,Good,5.85331497496875,0.5874707754711129,53
0723-20,723,20,2024-10-02,Fall,2024-09-05,2024-10-22,Done per SOP,11 – 49 % caked,TRUE,Cleaned within 3 years,None of the above (litter even and clean),Greater than 5 inches,31 – 40 % moisture,Greater than 80 % acceptable paws,None,Acid and disinfect used,7.03820865227859,1.6113667740451,96.0819502075,1.4668049793,0.1530045359,46,96400,92623,1050450,6.7,ROSS 708,TP,55,31 – 40 % moisture,Greater than 80 % acceptable paws,11 – 49 % caked,FALSE,FALSE,FALSE,35.5,90,30,High,Good,3.9180497925311206,0.6205911752106236,47
1404-28,1404,28,2024-09-12,Summer,2024-08-15,2024-10-02,Done per SOP,11 – 49 % caked,TRUE,Cleaned within 3 years,"Presence of marbles, chunks, leftover cake, or uneven litter",Greater than 5 inches,31 – 40 % moisture,50 – 80 % acceptable paws,None,Only 1 intervention used,6.52755390982357,1.71015750133476,95.2489626556,1.5414937759,0.1388841257,47,48200,45910,512500,6.7,ROSS 708,TP,57,31 – 40 % moisture,50 – 80 % acceptable paws,11 – 49 % caked,FALSE,FALSE,FALSE,35.5,65,30,High,Acceptable,4.75103734439834,0.5847414634146331,48
5547-25,5547,25,2024-08-28,Summer,2024-08-05,2024-09-24,Done per SOP,Less than 10 % caked,TRUE,Cleaned within 3 years,"Presence of marbles, chunks, leftover cake, or uneven litter","Less than 3 inches,Greater than 5 inches",Less than 30 % moisture,Greater than 80 % acceptable paws,None,Acid and disinfect used,6.92680148105953,1.65206664759725,96.5944976077,1.0885167464,0.1382718973,50,83600,80753,924100,6.7,ROSS 708,ORG,51,Less than 30 % moisture,Greater than 80 % acceptable paws,Less than 10 % caked,FALSE,FALSE,FALSE,15,90,5,Low,Good,3.4055023923444976,0.6053024564441092,50
5453-59,5453,59,2024-11-08,Fall,2024-11-01,2024-12-20,Not done,Less than 10 % caked,TRUE,4 – 5 years since cleanout,None of the above (litter even and clean),Less than 3 inches,"Greater than 40 % moisture,31 – 40 % moisture",Greater than 80 % acceptable paws,None,Acid and disinfect used,5.31843240950932,1.88929409005629,94.5448113208,1.8466981132,0.1129181525,47,84800,80174,805595,6.7,ROSS 708,ORG,52,Greater than 40 % moisture,Greater than 80 % acceptable paws,Less than 10 % caked,TRUE,FALSE,FALSE,45.5,90,5,High,Good,5.455188679245284,0.529298220569888,49
5523-40,5523,40,2024-09-25,Fall,2024-09-05,2024-10-22,Done per SOP,Less than 10 % caked,TRUE,Cleaned within 3 years,None of the above (litter even and clean),Less than 3 inches,Less than 30 % moisture,Greater than 80 % acceptable paws,Performed but not recorded,Acid and disinfect used,6.98025460134789,1.65911015752922,95.8375826251,1.2747875354,0.1479328872,47,105900,101492,1175380,6.7,ROSS 308,ORG,43,Less than 30 % moisture,Greater than 80 % acceptable paws,Less than 10 % caked,FALSE,FALSE,FALSE,15,90,5,Low,Good,4.162417374881964,0.6027327332437166,47
8699-132,8699,132,2024-10-21,Fall,2024-09-30,2024-11-26,Done per SOP,Less than 10 % caked,TRUE,4 – 5 years since cleanout,None of the above (litter even and clean),Greater than 5 inches,Less than 30 % moisture,Greater than 80 % acceptable paws,Performed per SOP,None,9.72190000297433,1.77571437312611,92.1451475868,1.3895359991,0.1736053572,56,36487,33621,580410,9,ROSS 708,BB,37,Less than 30 % moisture,Greater than 80 % acceptable paws,Less than 10 % caked,FALSE,FALSE,FALSE,15,90,5,Low,Good,7.854852413188258,0.5631536327768298,57
1958-107,1958,107,2024-09-27,Fall,2024-09-06,2024-10-15,Not done,Less than 10 % caked,TRUE,4 – 5 years since cleanout,None of the above (litter even and clean),Greater than 5 inches,Less than 30 % moisture,Greater than 80 % acceptable paws,Performed but not recorded,Only 1 intervention used,5.07992213418145,1.52555591537133,96.1327350241,1.4246084304,0.1387679594,37,151761,145892,1130620,4.2,ROSS 308,SB,30,Less than 30 % moisture,Greater than 80 % acceptable paws,Less than 10 % caked,FALSE,FALSE,FALSE,15,90,5,Low,Good,3.8672649758501856,0.6554987528966407,39
0784-137,784,137,2025-02-21,Winter,2025-01-31,2025-03-19,Done per SOP,11 – 49 % caked,FALSE,Cleaned within 3 years,"Presence of marbles, chunks, leftover cake, or uneven litter",Greater than 5 inches,31 – 40 % moisture,Less than 50 % acceptable paws,Performed but not recorded,Only 1 intervention used,6.71779005524862,1.69924008158431,93.8796680498,2.7085062241,0.1429317033,47,96400,90500,1033070,6.7,ROSS 308,TP,41,31 – 40 % moisture,Less than 50 % acceptable paws,11 – 49 % caked,FALSE,FALSE,FALSE,35.5,25,30,High,Poor,6.1203319502074685,0.5884983592592967,47
1415-29,1415,29,2025-02-21,Winter,2025-01-31,2025-03-05,Done per SOP,11 – 49 % caked,FALSE,Cleaned within 3 years,"Presence of marbles, chunks, leftover cake, or uneven litter",Greater than 5 inches,31 – 40 % moisture,Greater than 80 % acceptable paws,Performed but not recorded,Only 1 intervention used,3.96021802850071,1.54204233007226,95.7031983666,1.1475101937,0.1277489687,31,165053,157961,964640,4.2,ROSS 308,SB,51,31 – 40 % moisture,Greater than 80 % acceptable paws,11 – 49 % caked,FALSE,FALSE,FALSE,35.5,90,30,High,Good,4.296801633414722,0.6484906286282945,33
1854-116,1854,116,2024-10-14,Fall,2024-09-20,2024-11-01,Done per SOP,Less than 10 % caked,TRUE,More than 5 years since cleanout,"Presence of marbles, chunks, leftover cake, or uneven litter",Greater than 5 inches,31 – 40 % moisture,Greater than 80 % acceptable paws,Performed per SOP,Only 1 intervention used,4.90408966675861,1.56562020656509,97.734613556,0.7440191739,0.132542964,37,204027,199405,1531020,4.2,ROSS 308,SB,39,31 – 40 % moisture,Greater than 80 % acceptable paws,Less than 10 % caked,FALSE,FALSE,FALSE,35.5,90,5,High,Good,2.265386443951046,0.6387245104570803,42
3754-71,3754,71,2025-02-17,Winter,2025-01-27,2025-03-06,Not done,Less than 10 % caked,TRUE,Cleaned within 3 years,None of the above (litter even and clean),Greater than 5 inches,31 – 40 % moisture,Greater than 80 % acceptable paws,None,None,4.29512516469038,1.58804510031504,93.61,3.8266666667,0.1130296096,38,30000,28083,191550,4.2,ROSS 708,SB,45,31 – 40 % moisture,Greater than 80 % acceptable paws,Less than 10 % caked,FALSE,FALSE,FALSE,35.5,90,5,High,Good,6.39,0.6297050378491251,38
1951-240,1951,240,2025-02-25,Winter,2025-02-03,2025-03-14,Not done,Less than 10 % caked,TRUE,Cleaned within 3 years,None of the above (litter even and clean),Greater than 5 inches,Less than 30 % moisture,Greater than 80 % acceptable paws,None,None,4.41770116995624,1.57859092287476,91.7786885246,2.8647540984,0.113274389,39,48800,44788,312340,4.2,ROSS 708,SB,49,Less than 30 % moisture,Greater than 80 % acceptable paws,Less than 10 % caked,FALSE,FALSE,FALSE,15,90,5,Low,Good,8.221311475409836,0.6334763398860216,39
1047-61,1047,61,2025-03-19,Winter,2025-02-25,2025-04-23,Done per SOP,Less than 10 % caked,TRUE,Cleaned within 3 years,"Presence of marbles, chunks, leftover cake, or uneven litter",Greater than 5 inches,31 – 40 % moisture,Greater than 80 % acceptable paws,Performed per SOP,Acid and disinfect used,9.06100960049551,1.8053865609406,93.323699422,1.9884393064,0.1589650807,57,34600,32290,528220,9,ROSS 708,BB,47,31 – 40 % moisture,Greater than 80 % acceptable paws,Less than 10 % caked,FALSE,FALSE,FALSE,35.5,90,5,High,Good,6.676300578034682,0.5538979970466843,57
0744-115,744,115,2025-04-21,Spring,2025-04-01,2025-06-02,Done per SOP,Less than 10 % caked,TRUE,More than 5 years since cleanout,None of the above (litter even and clean),Less than 3 inches,"31 – 40 % moisture,Less than 30 % moisture",Greater than 80 % acceptable paws,Performed per SOP,Only 1 intervention used,9.1709700484627,1.83175596656127,92.1129182751,1.50569897,0.1554401703,59,54659,50348,845795,9,ROSS 708,BB,33,31 – 40 % moisture,Greater than 80 % acceptable paws,Less than 10 % caked,TRUE,FALSE,FALSE,35.5,90,5,High,Good,7.887081724876049,0.5459242487836882,62
3442-97,3442,97,2025-04-07,Spring,2025-03-17,2025-04-14,Done per SOP,"Less than 10 % caked,11 – 49 % caked",FALSE,4 – 5 years since cleanout,"Presence of marbles, chunks, leftover cake, or uneven litter",Greater than 5 inches,"31 – 40 % moisture,Less than 30 % moisture",Greater than 80 % acceptable paws,Performed but not recorded,Acid and disinfect used,2.08259684964014,1.42286410953765,98.3679154659,0.711815562,0.083303874,25,104100,102401,303440,2,ROSS 308,SB,39,31 – 40 % moisture,Greater than 80 % acceptable paws,Less than 10 % caked,TRUE,FALSE,TRUE,35.5,90,5,High,Good,1.6320845341018253,0.7028078038491977,28
3852-44,3852,44,2025-05-05,Spring,2025-04-07,2025-06-05,Done per SOP,Less than 10 % caked,TRUE,Cleaned within 3 years,None of the above (litter even and clean),Greater than 5 inches,31 – 40 % moisture,Greater than 80 % acceptable paws,Performed per SOP,Only 1 intervention used,10.1407976192147,1.72040420819491,93.2421465969,1.4986910995,0.1718779257,59,76400,71237,1242820,9,ROSS 708,BB,41,31 – 40 % moisture,Greater than 80 % acceptable paws,Less than 10 % caked,FALSE,FALSE,FALSE,35.5,90,5,High,Good,6.757853403141362,0.5812587502615006,59
1175-113,1175,113,2025-04-28,Spring,2025-04-08,2025-05-29,Done per SOP,Less than 10 % caked,TRUE,Cleaned within 3 years,None of the above (litter even and clean),Greater than 5 inches,Less than 30 % moisture,Greater than 80 % acceptable paws,Performed but not recorded,Only 1 intervention used,7.15766993565066,1.69529287060302,90.5521628499,3.6170483461,0.1403464693,51,78600,71174,863650,6.7,ROSS 708,TP,27,Less than 30 % moisture,Greater than 80 % acceptable paws,Less than 10 % caked,FALSE,FALSE,FALSE,15,90,5,Low,Good,9.447837150127226,0.5898685810224032,51
4113-36,4113,36,2025-03-13,Winter,2025-02-11,2025-04-02,Done per SOP,Less than 10 % caked,TRUE,Cleaned within 3 years,None of the above (litter even and clean),Greater than 5 inches,31 – 40 % moisture,50 – 80 % acceptable paws,Performed but not recorded,Acid and disinfect used,6.4309482142417,1.77877428998505,95.4611764706,0.8823529412,0.1306380804,49,85000,81142,928200,6.7,ROSS 708,ORG,44,31 – 40 % moisture,50 – 80 % acceptable paws,Less than 10 % caked,FALSE,FALSE,FALSE,35.5,65,5,High,Acceptable,4.538823529411765,0.5621848739495805,50
5818-38,5818,38,2025-04-22,Spring,2025-04-07,2025-05-23,Done per SOP,Less than 10 % caked,TRUE,Cleaned within 3 years,None of the above (litter even and clean),Greater than 5 inches,Less than 30 % moisture,Greater than 80 % acceptable paws,Performed but not recorded,Acid and disinfect used,6.47880875329081,1.59577270245093,94.9614624506,0.9960474308,0.1409771332,46,101200,96101,993560,6.7,ROSS 708,TP,44,Less than 30 % moisture,Greater than 80 % acceptable paws,Less than 10 % caked,FALSE,FALSE,FALSE,15,90,5,Low,Good,5.038537549407115,0.6266556624662841,46
